Variables ->,dyobs,lur,dp,ptr,rff,tr
2017Q1,2.394109102447516,4.566666666666666,1.8524055397911732,2.3,0.7000000000000001,
2017Q2,1.4107453694353265,4.366666666666667,1.3352790660718787,2.3,0.9500000000000001,
2017Q3,2.2227394584746154,4.333333333333333,1.2070075560621203,2.25,1.1533333333333333,
2017Q4,3.568174771374786,4.166666666666667,1.7752058794532937,2.2,1.2033333333333334,
2018Q1,1.6874109766835872,4.033333333333333,2.5374757999354807,2.25,1.4466666666666665,
2018Q2,1.3105196978550733,3.9333333333333336,2.141649255033196,2.3,1.7366666666666666,
2018Q3,1.5399114893275088,3.766666666666667,1.2729760319038659,2.2,1.9233333333333331,
2018Q4,-0.41995049783819943,3.8333333333333335,1.8635476233539636,2.21,2.22,
2019Q1,2.9753022268373233,3.8666666666666667,1.6011751205105045,2.2,2.4033333333333333,
2019Q2,2.593091893936485,3.6333333333333333,1.6863567581217491,2.2,2.3966666666666665,
2019Q3,3.7761204588079953,3.6,1.4827607624205297,2.2,2.19,
2019Q4,1.8193493404277938,3.6,1.4030377167228012,2.2,1.6433333333333333,
2020Q1,-4.705995547687429,3.8333333333333335,1.798525125158381,2.2,1.26,
2020Q2,-33.46332321631144,13.0,-0.752659245209939,2.135,0.06,
2020Q3,29.12134612121599,8.799999999999999,2.964154456451131,2.03,0.09333333333333334,
2020Q4,3.707488698711478,6.766666666666667,1.7932429441037057,2.12,0.09000000000000001,
2021Q1,5.783737248762991,6.233333333333333,3.4011855199124854,2.2,0.08,
2021Q2,6.301364484230357,5.933333333333334,5.646275668095427,2.3,0.07,
2021Q3,2.6771708512373893,5.066666666666666,4.718863743198378,2.4367,0.09000000000000001,
2021Q4,6.17995193922331,4.166666666666667,5.169614291442868,2.55,0.08,
2022Q1,-2.998617813917353,3.8666666666666667,5.95112913083901,2.4981,0.12,
2022Q2,0.06758570209294737,3.6333333333333333,4.74764834727254,2.8,0.77,
2022Q3,2.1300785346271156,3.533333333333333,5.013761321552019,2.8,2.19,
2022Q4,1.9775132232546004,3.5666666666666664,4.605256315895888,2.95,3.653333333333333,
2023Q1,0.7453505171605592,3.533333333333333,4.610510440361316,2.37,4.516666666666667,
2023Q2,1.744786079707823,3.533333333333333,3.891129430600593,2.3555,4.989999999999999,
2023Q3,3.698347431092187,3.6333333333333333,2.3402391913566354,2.4,5.260000000000001,
2023Q4,2.4589368007647714,3.8000000000000003,2.114063018713469,2.4,5.33,
2024Q1,0.9979094710881443,3.8333333333333335,3.9186505670669947,2.24,5.33,
2024Q2,2.7218209963907705,3.9666666666666663,2.8421418063750226,2.325,5.33,
2024Q3,2.3780087498104048,4.166666666666667,2.3244359851288294,2.3,5.263333333333333,
2024Q4,0.9386705133589206,4.133333333333333,2.6810800379859114,2.225,4.6499999999999995,
2025Q1,-5.648984544526045,4.133333333333334,3.222554843516833,2.3,4.33,
2025Q2,2.9792576770799863,4.2,2.566687700768396,2.3492,4.33,
2025Q3,3.3835731888546103,4.333333333333333,2.8356142624131495,2.305,4.293333333333333,
2025Q4,-0.5693399820200112,4.45,2.6222861571262026,2.38,3.8966666666666665,
2026Q1,2.006274576430054,4.333333333333333,4.326772171302333,2.3,3.64,
2026Q2,1.0483827437390574,4.266666666666667,3.508211824269675,2.4,3.6333333333333333,
